binary,decimal,hex,signal,structure,role,pattern_type,symmetry,color,causality_direction
00110001,49,31,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00110010,50,32,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00110011,51,33,0.500,0.500,processing,balanced,False,#7bff00,balanced
00110100,52,34,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00110101,53,35,0.500,0.500,processing,balanced,False,#7bff00,balanced
00110110,54,36,0.500,0.500,processing,balanced,False,#7bff00,balanced
00110111,55,37,0.625,0.375,processing,mixed,False,#1bff00,divergent
00111000,56,38,0.375,0.625,constraint,mixed,False,#dcff00,convergent
00111001,57,39,0.500,0.500,processing,balanced,False,#7bff00,balanced
00111010,58,3a,0.500,0.500,processing,balanced,False,#7bff00,balanced
00111011,59,3b,0.625,0.375,processing,mixed,False,#1bff00,divergent
00111100,60,3c,0.500,0.500,processing,palindrome,True,#7bff00,balanced
00111101,61,3d,0.625,0.375,processing,mixed,False,#1bff00,divergent
00111110,62,3e,0.625,0.375,processing,mixed,False,#1bff00,divergent
00111111,63,3f,0.750,0.250,flow,dense,False,#00ff3f,divergent
01000000,64,40,0.125,0.875,question,sparse,False,#ff5f00,convergent
01000001,65,41,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
01000010,66,42,0.250,0.750,constraint,palindrome,True,#ffbf00,convergent
01000011,67,43,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01000100,68,44,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
01000101,69,45,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01000110,70,46,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01000111,71,47,0.500,0.500,processing,balanced,False,#7bff00,balanced
01001000,72,48,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
01001001,73,49,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01001010,74,4a,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01001011,75,4b,0.500,0.500,processing,balanced,False,#7bff00,balanced
01001100,76,4c,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01001101,77,4d,0.500,0.500,processing,balanced,False,#7bff00,balanced
01001110,78,4e,0.500,0.500,processing,balanced,False,#7bff00,balanced
01001111,79,4f,0.625,0.375,processing,mixed,False,#1bff00,divergent
01010000,80,50,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
01010001,81,51,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01010010,82,52,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01010011,83,53,0.500,0.500,processing,balanced,False,#7bff00,balanced
01010100,84,54,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01010101,85,55,0.500,0.500,processing,balanced,False,#7bff00,balanced
01010110,86,56,0.500,0.500,processing,balanced,False,#7bff00,balanced
01010111,87,57,0.625,0.375,processing,mixed,False,#1bff00,divergent
01011000,88,58,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01011001,89,59,0.500,0.500,processing,balanced,False,#7bff00,balanced
01011010,90,5a,0.500,0.500,processing,palindrome,True,#7bff00,balanced
01011011,91,5b,0.625,0.375,processing,mixed,False,#1bff00,divergent
01011100,92,5c,0.500,0.500,processing,balanced,False,#7bff00,balanced
01011101,93,5d,0.625,0.375,processing,mixed,False,#1bff00,divergent
01011110,94,5e,0.625,0.375,processing,mixed,False,#1bff00,divergent
01011111,95,5f,0.750,0.250,flow,dense,False,#00ff3f,divergent
01100000,96,60,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
01100001,97,61,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01100010,98,62,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01100011,99,63,0.500,0.500,processing,balanced,False,#7bff00,balanced
01100100,100,64,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01100101,101,65,0.500,0.500,processing,balanced,False,#7bff00,balanced
01100110,102,66,0.500,0.500,processing,palindrome,True,#7bff00,balanced
01100111,103,67,0.625,0.375,processing,mixed,False,#1bff00,divergent
01101000,104,68,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01101001,105,69,0.500,0.500,processing,balanced,False,#7bff00,balanced
01101010,106,6a,0.500,0.500,processing,balanced,False,#7bff00,balanced
01101011,107,6b,0.625,0.375,processing,mixed,False,#1bff00,divergent
01101100,108,6c,0.500,0.500,processing,balanced,False,#7bff00,balanced
01101101,109,6d,0.625,0.375,processing,mixed,False,#1bff00,divergent
01101110,110,6e,0.625,0.375,processing,mixed,False,#1bff00,divergent
01101111,111,6f,0.750,0.250,flow,dense,False,#00ff3f,divergent
01110000,112,70,0.375,0.625,constraint,mixed,False,#dcff00,convergent
01110001,113,71,0.500,0.500,processing,balanced,False,#7bff00,balanced
01110010,114,72,0.500,0.500,processing,balanced,False,#7bff00,balanced
01110011,115,73,0.625,0.375,processing,mixed,False,#1bff00,divergent
01110100,116,74,0.500,0.500,processing,balanced,False,#7bff00,balanced
01110101,117,75,0.625,0.375,processing,mixed,False,#1bff00,divergent
01110110,118,76,0.625,0.375,processing,mixed,False,#1bff00,divergent
01110111,119,77,0.750,0.250,flow,dense,False,#00ff3f,divergent
01111000,120,78,0.500,0.500,processing,balanced,False,#7bff00,balanced
01111001,121,79,0.625,0.375,processing,mixed,False,#1bff00,divergent
01111010,122,7a,0.625,0.375,processing,mixed,False,#1bff00,divergent
01111011,123,7b,0.750,0.250,flow,dense,False,#00ff3f,divergent
01111100,124,7c,0.625,0.375,processing,mixed,False,#1bff00,divergent
01111101,125,7d,0.750,0.250,flow,dense,False,#00ff3f,divergent
01111110,126,7e,0.750,0.250,flow,palindrome,True,#00ff3f,divergent
01111111,127,7f,0.875,0.125,flow,dense,False,#00ff1f,divergent
10000000,128,80,0.125,0.875,question,sparse,False,#ff5f00,convergent
10000001,129,81,0.250,0.750,constraint,palindrome,True,#ffbf00,convergent
10000010,130,82,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
10000011,131,83,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10000100,132,84,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
10000101,133,85,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10000110,134,86,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10000111,135,87,0.500,0.500,processing,balanced,False,#7bff00,balanced
10001000,136,88,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
10001001,137,89,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10001010,138,8a,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10001011,139,8b,0.500,0.500,processing,balanced,False,#7bff00,balanced
10001100,140,8c,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10001101,141,8d,0.500,0.500,processing,balanced,False,#7bff00,balanced
10001110,142,8e,0.500,0.500,processing,balanced,False,#7bff00,balanced
10001111,143,8f,0.625,0.375,processing,mixed,False,#1bff00,divergent
10010000,144,90,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
10010001,145,91,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10010010,146,92,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10010011,147,93,0.500,0.500,processing,balanced,False,#7bff00,balanced
10010100,148,94,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10010101,149,95,0.500,0.500,processing,balanced,False,#7bff00,balanced
10010110,150,96,0.500,0.500,processing,balanced,False,#7bff00,balanced
10010111,151,97,0.625,0.375,processing,mixed,False,#1bff00,divergent
10011000,152,98,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10011001,153,99,0.500,0.500,processing,palindrome,True,#7bff00,balanced
10011010,154,9a,0.500,0.500,processing,balanced,False,#7bff00,balanced
10011011,155,9b,0.625,0.375,processing,mixed,False,#1bff00,divergent
10011100,156,9c,0.500,0.500,processing,balanced,False,#7bff00,balanced
10011101,157,9d,0.625,0.375,processing,mixed,False,#1bff00,divergent
10011110,158,9e,0.625,0.375,processing,mixed,False,#1bff00,divergent
10011111,159,9f,0.750,0.250,flow,dense,False,#00ff3f,divergent
10100000,160,a0,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
10100001,161,a1,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10100010,162,a2,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10100011,163,a3,0.500,0.500,processing,balanced,False,#7bff00,balanced
10100100,164,a4,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10100101,165,a5,0.500,0.500,processing,palindrome,True,#7bff00,balanced
10100110,166,a6,0.500,0.500,processing,balanced,False,#7bff00,balanced
10100111,167,a7,0.625,0.375,processing,mixed,False,#1bff00,divergent
10101000,168,a8,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10101001,169,a9,0.500,0.500,processing,balanced,False,#7bff00,balanced
10101010,170,aa,0.500,0.500,processing,balanced,False,#7bff00,balanced
10101011,171,ab,0.625,0.375,processing,mixed,False,#1bff00,divergent
10101100,172,ac,0.500,0.500,processing,balanced,False,#7bff00,balanced
10101101,173,ad,0.625,0.375,processing,mixed,False,#1bff00,divergent
10101110,174,ae,0.625,0.375,processing,mixed,False,#1bff00,divergent
10101111,175,af,0.750,0.250,flow,dense,False,#00ff3f,divergent
10110000,176,b0,0.375,0.625,constraint,mixed,False,#dcff00,convergent
10110001,177,b1,0.500,0.500,processing,balanced,False,#7bff00,balanced
10110010,178,b2,0.500,0.500,processing,balanced,False,#7bff00,balanced
10110011,179,b3,0.625,0.375,processing,mixed,False,#1bff00,divergent
10110100,180,b4,0.500,0.500,processing,balanced,False,#7bff00,balanced
10110101,181,b5,0.625,0.375,processing,mixed,False,#1bff00,divergent
10110110,182,b6,0.625,0.375,processing,mixed,False,#1bff00,divergent
10110111,183,b7,0.750,0.250,flow,dense,False,#00ff3f,divergent
10111000,184,b8,0.500,0.500,processing,balanced,False,#7bff00,balanced
10111001,185,b9,0.625,0.375,processing,mixed,False,#1bff00,divergent
10111010,186,ba,0.625,0.375,processing,mixed,False,#1bff00,divergent
10111011,187,bb,0.750,0.250,flow,dense,False,#00ff3f,divergent
10111100,188,bc,0.625,0.375,processing,mixed,False,#1bff00,divergent
10111101,189,bd,0.750,0.250,flow,palindrome,True,#00ff3f,divergent
10111110,190,be,0.750,0.250,flow,dense,False,#00ff3f,divergent
10111111,191,bf,0.875,0.125,flow,dense,False,#00ff1f,divergent
11000000,192,c0,0.250,0.750,constraint,sparse,False,#ffbf00,convergent
11000001,193,c1,0.375,0.625,constraint,mixed,False,#dcff00,convergent
11000010,194,c2,0.375,0.625,constraint,mixed,False,#dcff00,convergent
11000011,195,c3,0.500,0.500,processing,palindrome,True,#7bff00,balanced
11000100,196,c4,0.375,0.625,constraint,mixed,False,#dcff00,convergent
11000101,197,c5,0.500,0.500,processing,balanced,False,#7bff00,balanced
11000110,198,c6,0.500,0.500,processing,balanced,False,#7bff00,balanced
11000111,199,c7,0.625,0.375,processing,mixed,False,#1bff00,divergent
11001000,200,c8,0.375,0.625,constraint,mixed,False,#dcff00,convergent
11001001,201,c9,0.500,0.500,processing,balanced,False,#7bff00,balanced
11001010,202,ca,0.500,0.500,processing,balanced,False,#7bff00,balanced
11001011,203,cb,0.625,0.375,processing,mixed,False,#1bff00,divergent
11001100,204,cc,0.500,0.500,processing,balanced,False,#7bff00,balanced
11001101,205,cd,0.625,0.375,processing,mixed,False,#1bff00,divergent
11001110,206,ce,0.625,0.375,processing,mixed,False,#1bff00,divergent
11001111,207,cf,0.750,0.250,flow,dense,False,#00ff3f,divergent
11010000,208,d0,0.375,0.625,constraint,mixed,False,#dcff00,convergent
11010001,209,d1,0.500,0.500,processing,balanced,False,#7bff00,balanced
11010010,210,d2,0.500,0.500,processing,balanced,False,#7bff00,balanced
11010011,211,d3,0.625,0.375,processing,mixed,False,#1bff00,divergent
11010100,212,d4,0.500,0.500,processing,balanced,False,#7bff00,balanced
11010101,213,d5,0.625,0.375,processing,mixed,False,#1bff00,divergent
11010110,214,d6,0.625,0.375,processing,mixed,False,#1bff00,divergent
11010111,215,d7,0.750,0.250,flow,dense,False,#00ff3f,divergent
11011000,216,d8,0.500,0.500,processing,balanced,False,#7bff00,balanced
11011001,217,d9,0.625,0.375,processing,mixed,False,#1bff00,divergent
11011010,218,da,0.625,0.375,processing,mixed,False,#1bff00,divergent
11011011,219,db,0.750,0.250,flow,palindrome,True,#00ff3f,divergent
11011100,220,dc,0.625,0.375,processing,mixed,False,#1bff00,divergent
11011101,221,dd,0.750,0.250,flow,dense,False,#00ff3f,divergent
11011110,222,de,0.750,0.250,flow,dense,False,#00ff3f,divergent
11011111,223,df,0.875,0.125,flow,dense,False,#00ff1f,divergent
11100000,224,e0,0.375,0.625,constraint,mixed,False,#dcff00,convergent
11100001,225,e1,0.500,0.500,processing,balanced,False,#7bff00,balanced
11100010,226,e2,0.500,0.500,processing,balanced,False,#7bff00,balanced
11100011,227,e3,0.625,0.375,processing,mixed,False,#1bff00,divergent
11100100,228,e4,0.500,0.500,processing,balanced,False,#7bff00,balanced
11100101,229,e5,0.625,0.375,processing,mixed,False,#1bff00,divergent
11100110,230,e6,0.625,0.375,processing,mixed,False,#1bff00,divergent
11100111,231,e7,0.750,0.250,flow,palindrome,True,#00ff3f,divergent
11101000,232,e8,0.500,0.500,processing,balanced,False,#7bff00,balanced
11101001,233,e9,0.625,0.375,processing,mixed,False,#1bff00,divergent
11101010,234,ea,0.625,0.375,processing,mixed,False,#1bff00,divergent
11101011,235,eb,0.750,0.250,flow,dense,False,#00ff3f,divergent
11101100,236,ec,0.625,0.375,processing,mixed,False,#1bff00,divergent
11101101,237,ed,0.750,0.250,flow,dense,False,#00ff3f,divergent
11101110,238,ee,0.750,0.250,flow,dense,False,#00ff3f,divergent
11101111,239,ef,0.875,0.125,flow,dense,False,#00ff1f,divergent
11110000,240,f0,0.500,0.500,processing,balanced,False,#7bff00,balanced
11110001,241,f1,0.625,0.375,processing,mixed,False,#1bff00,divergent
11110010,242,f2,0.625,0.375,processing,mixed,False,#1bff00,divergent
11110011,243,f3,0.750,0.250,flow,dense,False,#00ff3f,divergent
11110100,244,f4,0.625,0.375,processing,mixed,False,#1bff00,divergent
11110101,245,f5,0.750,0.250,flow,dense,False,#00ff3f,divergent
11110110,246,f6,0.750,0.250,flow,dense,False,#00ff3f,divergent
11110111,247,f7,0.875,0.125,flow,dense,False,#00ff1f,divergent
11111000,248,f8,0.625,0.375,processing,mixed,False,#1bff00,divergent
11111001,249,f9,0.750,0.250,flow,dense,False,#00ff3f,divergent
11111010,250,fa,0.750,0.250,flow,dense,False,#00ff3f,divergent
11111011,251,fb,0.875,0.125,flow,dense,False,#00ff1f,divergent
11111100,252,fc,0.750,0.250,flow,dense,False,#00ff3f,divergent
11111101,253,fd,0.875,0.125,flow,dense,False,#00ff1f,divergent
11111110,254,fe,0.875,0.125,flow,dense,False,#00ff1f,divergent
11111111,255,ff,1.000,0.000,answer,saturated,True,#00ff00,divergent
